provider_name,provided_name,share_provided,year
Manufacturing Integration Tech,Assembly inspection tools,1.1,2024
Mattson Tech,Rapid thermal processing tools,3.8,2024
Mattson Tech,Dry stripping tools,28.0,2024
Micro Control,Burn-in test tools,5.4,2024
Minami,Other interconnect tools,1.6,2024
MingSeal,Other interconnect tools,8.4,2024
Muehlbauer,Assembly inspection tools,2.2,2024
Muratec,Wafer handlers,30.1,2024
Muratec,Photomask handlers,81.0,2024
Muratec,Wafer and photomask handlers,32.2,2024
Musashi Engineering,Bonding tools,1.7,2024
Musashi Engineering,Other interconnect tools,18.1,2024
Mycronic,Mask exposure systems - laser beam,37.3,2024
NAURA,Dry etching tools (adv. pkg.),8.4,2024
NAURA,Dry etch tools,4.9,2024
NAURA,Fabrication tools (for advanced packaging),4.1,2024
NAURA,CVD tools (adv. pkg.),19.1,2024
NAURA,PVD tools (adv. pkg.),8.8,2024
NAURA,Deposition tools (adv. pkg.),6.7,2024
NAURA,Etch and clean tools (adv. pkg.),5.7,2024
NAURA,Other deposition tools (non-IC),18.3,2024
NAURA,Deposition tools,4.9,2024
NAURA,Plasma CVD tools,1.6,2024
NAURA,Low-pressure CVD tools,2.8,2024
NAURA,High-temperature CVD tools,3.4,2024
NAURA,Physical vapor deposition tools,10.4,2024
NAURA,Tube-based diffusion and deposition tools,10.4,2024
NAURA,Chemical vapor deposition tools,2.1,2024
NAURA,Dry etching and cleaning tools,4.9,2024
NAURA,Wet etching and cleaning tools,3.5,2024
NAURA,Conductor etching tools,6.1,2024
NAURA,Dry stripping tools,7.3,2024
NAURA,Misc. dry etch tools,55.5,2024
NAURA,Etch and clean tools,4.4,2024
NLD,KrF (DUV) lithography tools,79.2,2024
NLD,i-line lithography tools,35.7,2024
NLD,Fabrication tools (for advanced packaging),0.2,2024
NLD,CVD tools (adv. pkg.),2.8,2024
NLD,Overlay metrology tools,45.1,2024
NLD,E-beam metrology tools,37.6,2024
NLD,Deposition tools (adv. pkg.),0.4,2024
NLD,Die attaching tools for IC,30.9,2024
NLD,Die attaching tools for non-IC,35.9,2024
NLD,Other deposition tools (non-IC),12.4,2024
NLD,Lithography tools,78.5,2024
NLD,EUV lithography tools,100.0,2024
NLD,ArF dry (DUV) lithography tools,94.3,2024
NLD,ArF immersion (DUV) lithography tools,98.7,2024
NLD,Deposition tools,10.7,2024
NLD,Plasma CVD tools,1.6,2024
NLD,High-temperature CVD tools,20.5,2024
NLD,Atomic layer deposition tools,52.5,2024
NLD,Tube-based diffusion and deposition tools,7.0,2024
NLD,Chemical vapor deposition tools,4.2,2024
NLD,Dry etching and cleaning tools,0.2,2024
NLD,Dry stripping tools,11.3,2024
NLD,Etch and clean tools,0.1,2024
NLD,Process control tools,5.2,2024
NLD,Bonding tools,19.2,2024
NLD,Die attaching tools,31.9,2024
NLD,Packaging tools,14.6,2024
National Instruments,Linear and discrete testing tools,14.1,2024
Nikon,KrF (DUV) lithography tools,3.4,2024
Nikon,i-line lithography tools,5.7,2024
Nikon,Lithography tools,1.2,2024
